TestInput,FileName,Variables,Degree,Runtime (s),Result
1,theater,1var,2deg,0.011704444885253906,[['UNKNOWN (TIMEOUT)']]
2,cat,1var,2deg,0.005475044250488281,[['UNKNOWN (TIMEOUT)']]
3,dog,1var,2deg,0.003248453140258789,[['UNKNOWN (TIMEOUT)']]
4,house,1var,2deg,0.004743099212646484,[['UNKNOWN (TIMEOUT)']]
5,elephant,1var,2deg,0.003007650375366211,[['UNKNOWN (TIMEOUT)']]
6,squirrel,1var,2deg,0.0060350894927978516,[['UNKNOWN (TIMEOUT)']]
7,enigma,1var,2deg,0.002608776092529297,[['UNKNOWN (TIMEOUT)']]
8,rabbit,1var,2deg,0.0057947635650634766,[['UNKNOWN (TIMEOUT)']]
9,plate,1var,3deg,0.005448102951049805,[['UNKNOWN (TIMEOUT)']]
10,clown,1var,3deg,0.003383159637451172,[['UNKNOWN (TIMEOUT)']]
11,nostalgia,1var,3deg,0.003040790557861328,[['UNKNOWN (TIMEOUT)']]
12,heart,1var,3deg,0.0026569366455078125,[['UNKNOWN (TIMEOUT)']]
13,home,1var,3deg,0.0022454261779785156,[['UNKNOWN (TIMEOUT)']]
14,terminate,1var,3deg,0.0010325908660888672,[['UNSAT']]
15,rose,1var,3deg,0.002864837646484375,[['UNKNOWN (TIMEOUT)']]
16,truck,2var,2deg,0.003171205520629883,[['UNKNOWN (TIMEOUT)']]
17,unusual,2var,2deg,0.0033524036407470703,[['UNSAT']]
18,faint,2var,2deg,0.002899169921875,[['UNKNOWN (TIMEOUT)']]
19,machine,2var,2deg,0.0030748844146728516,[['UNKNOWN (TIMEOUT)']]
20,small,2var,2deg,0.002422809600830078,[['UNKNOWN (TIMEOUT)']]
21,waste,2var,3deg,0.001039266586303711,[['UNSAT']]
22,touch,2var,3deg,0.0022149085998535156,[['UNKNOWN (TIMEOUT)']]
23,moon,2var,3deg,0.002577066421508789,[['UNSAT']]
24,inertia,2var,3deg,0.003107786178588867,[['UNKNOWN (TIMEOUT)']]
25,email,2var,3deg,0.0021691322326660156,[['UNKNOWN (TIMEOUT)']]
26,oblong,2var,3deg,0.0016922950744628906,"[['x', 0], ['y', 0]]"
27,forget,2var,3deg,0.002562284469604492,[['UNKNOWN (TIMEOUT)']]
28,train,3var,2deg,0.0032472610473632812,[['UNKNOWN (TIMEOUT)']]
29,beast,3var,2deg,0.002040386199951172,"[['z', 0], ['x', 3], ['y', -6]]"
30,doctor,3var,2deg,0.002224445343017578,[['UNKNOWN (TIMEOUT)']]
31,vampire,3var,2deg,0.0020978450775146484,[['UNKNOWN (TIMEOUT)']]
32,robot,3var,3deg,0.0016331672668457031,"[['z', 0], ['x', 4], ['y', -5]]"
33,professor,3var,3deg,0.0017385482788085938,"[['x', 4], ['z', 7], ['y', 6]]"
34,titanium,3var,3deg,0.002315998077392578,[['UNKNOWN (TIMEOUT)']]
35,bar,3var,3deg,0.0027589797973632812,[['UNKNOWN (TIMEOUT)']]
36,tank,3var,3deg,0.0012841224670410156,"[['z', 0], ['x', -7], ['y', 9]]"
37,western,3var,3deg,0.0024423599243164062,[['UNKNOWN (TIMEOUT)']]
38,motor,3var,3deg,0.003282308578491211,[['UNKNOWN (TIMEOUT)']]
Totals: 38,n/a,0.1186378002166748s,"5 SAT, 4 UNSAT, 29 UNKNOWN"
